Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,Commission,ReturnPct,EntryTime,ExitTime,Duration,Tag,Entry_EMA50,Exit_EMA50,Entry_EMA200,Exit_EMA200,Entry_RSI,Exit_RSI,Entry_ATR,Exit_ATR
0.04571348,60,61,43728.9,42795.8,,,-44.63292075947805,1.9776725714780001,-0.022327622007413856,2024-01-03 12:00:00,2024-01-03 13:00:00,0 days 01:00:00,,0.00044542501537503864,0.0004446419559485666,0.00043378377582885724,0.0004337009223380229,22.147194436745593,20.968011259273197,5.947571428571438e-06,6.1273571428571446e-06
0.04454149,229,234,44679.2,46410.0,,,75.06378654654601,2.028624345454,0.03771901466454187,2024-01-10 13:00:00,2024-01-10 18:00:00,0 days 05:00:00,,0.0004576405789671665,0.00045766852260191405,0.0004464381470044053,0.0004469798681116932,34.374312042016726,55.87572704186118,4.791000000000002e-06,6.539928571428564e-06
0.04362633,269,279,45960.4,45462.8,,,-23.70269115442783,1.994229346428,-0.011821298335088389,2024-01-12 05:00:00,2024-01-12 15:00:00,0 days 10:00:00,,0.00046284274112658576,0.0004609722883511417,0.0004522582869268972,0.00045275389365398173,39.560963970412786,17.73013575368701,5.008214285714289e-06,4.320000000000017e-06
0.04788883,668,682,41770.6,42279.6,,,22.36288160036684,2.012532869633,0.011179511426697136,2024-01-28 20:00:00,2024-01-29 10:00:00,0 days 14:00:00,,0.0004188774763216698,0.0004199222045142283,0.0004132363646217451,0.00041427761686661395,32.42103649187369,63.52431956569578,2.4942857142857085e-06,2.451857142857135e-06
0.04687336,722,730,42770.9,42638.2,,,-8.221800617788109,2.001705745788,-0.004101025463574605,2024-01-31 02:00:00,2024-01-31 10:00:00,0 days 08:00:00,,0.00042962095703869674,0.0004292773451534548,0.00041999516524305675,0.0004206467565749553,34.88494334773961,15.728486559614296,3.1276428571428604e-06,2.5650714285714376e-06
0.04748451,751,754,42185.8,42141.0,,,-4.1294144369342884,2.0021083889340003,-0.0020614377349726185,2024-02-01 07:00:00,2024-02-01 10:00:00,0 days 03:00:00,,0.00042717632802518376,0.00042658724923170464,0.00042170772543664566,0.0004217154654378789,20.44025157232703,40.16720968832609,3.436285714285714e-06,2.6190000000000024e-06
0.04686088,823,835,42729.6,42777.8,,,0.255218410744253,2.003476005256,0.00012745965326157733,2024-02-04 07:00:00,2024-02-04 19:00:00,0 days 12:00:00,,0.00042983173908425347,0.00042941969576196736,0.00042580856017420277,0.00042614802279277667,21.026245945148474,38.64930838079737,1.1465714285714259e-06,1.5149999999999861e-06
0.04110754,1047,1061,48711.2,49396.6,,,26.158622759593943,2.016485156406,0.013063650659396605,2024-02-13 15:00:00,2024-02-14 05:00:00,0 days 14:00:00,,0.0004908987477252062,0.0004920598511538074,0.0004672771378485417,0.0004706822075023391,23.896527443204832,67.68146769476189,3.927571428571427e-06,3.561428571428586e-06
0.039195310000000004,1142,1158,51221.100000000006,51688.600000000006,,,16.307018628246468,2.0167887967535005,0.0081225344633364,2024-02-17 14:00:00,2024-02-18 06:00:00,0 days 16:00:00,,0.0005176981809424625,0.0005164522926627469,0.0004974231917083249,0.0005000040827339692,10.782573067467496,64.36280719533804,2.3090714285714183e-06,2.7964999999999973e-06
0.03934021,1234,1236,51115.30000000001,50988.200000000004,,,-7.0085272568677475,2.0083865658675,-0.0034852920749757657,2024-02-21 10:00:00,2024-02-21 12:00:00,0 days 02:00:00,,0.0005188861522971403,0.000518329714596476,0.000510380175370079,0.0005104047984166358,30.497644446851112,31.50714408676194,3.079357142857149e-06,3.6909285714285805e-06
