rsi_entry,rsi_exit,base_allocation,add_allocation,max_total_allocation,take_profit_pct,stop_loss_pct,trail_atr_mult,mode,Return [%],Max. Drawdown [%],Win Rate [%],Sharpe Ratio,Profit Factor,# Trades,_score
30,60,0.04,0.03,0.18,2.8,-3.2,1.6,split,0.6219296281032257,-1.1930450754125688,40.0,0.4279830787211065,1.18623198336897,40,1.0470623760537299
30,60,0.04,0.03,0.18,2.8,-4.2,1.6,split,0.6219296281032257,-1.1930450754125688,40.0,0.4279830787211065,1.18623198336897,40,1.0470623760537299
30,60,0.04,0.02,0.18,2.8,-4.2,1.6,split,0.6219296281032257,-1.1930450754125688,40.0,0.4279830787211065,1.18623198336897,40,1.0470623760537299
30,60,0.04,0.02,0.18,2.8,-3.2,1.6,split,0.6219296281032257,-1.1930450754125688,40.0,0.4279830787211065,1.18623198336897,40,1.0470623760537299
30,60,0.06,0.03,0.24,2.8,-4.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.03,0.24,2.8,-3.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.03,0.18,2.8,-3.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.03,0.18,2.8,-4.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.02,0.18,2.8,-4.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.02,0.18,2.8,-3.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.02,0.24,2.8,-4.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.06,0.02,0.24,2.8,-3.2,1.6,split,0.9261372099449908,-1.7854811159008666,40.0,0.4235743843154899,1.18623198336897,40,0.7836331114191868
30,60,0.04,0.02,0.24,2.8,-3.2,1.6,split,0.7130564922748818,-1.102613305842548,34.78260869565217,0.5021537433121271,1.1406835010151835,46,0.6588329617991606
30,60,0.04,0.02,0.24,2.8,-4.2,1.6,split,0.7130564922748818,-1.102613305842548,34.78260869565217,0.5021537433121271,1.1406835010151835,46,0.6588329617991606
30,60,0.04,0.03,0.18,2.2,-4.2,1.6,split,0.49764792804218816,-1.1930450025736783,40.0,0.35337763354244556,1.1495690046823586,40,0.41812519351862787
30,60,0.04,0.03,0.18,2.2,-3.2,1.6,split,0.49764792804218816,-1.1930450025736783,40.0,0.35337763354244556,1.1495690046823586,40,0.41812519351862787
30,60,0.04,0.02,0.18,2.2,-3.2,1.6,split,0.49764792804218816,-1.1930450025736783,40.0,0.35337763354244556,1.1495690046823586,40,0.41812519351862787
30,60,0.04,0.02,0.18,2.2,-4.2,1.6,split,0.49764792804218816,-1.1930450025736783,40.0,0.35337763354244556,1.1495690046823586,40,0.41812519351862787
30,60,0.04,0.02,0.18,2.8,-3.2,1.2,split,0.49631557050595804,-1.1746128027126823,39.02439024390244,0.34307974514011746,1.1575000710356418,41,0.4030492705812827
30,60,0.04,0.02,0.18,2.8,-4.2,1.2,split,0.49631557050595804,-1.1746128027126823,39.02439024390244,0.34307974514011746,1.1575000710356418,41,0.4030492705812827
30,60,0.04,0.03,0.18,2.8,-4.2,1.2,split,0.49631557050595804,-1.1746128027126823,39.02439024390244,0.34307974514011746,1.1575000710356418,41,0.4030492705812827
30,60,0.04,0.03,0.18,2.8,-3.2,1.2,split,0.49631557050595804,-1.1746128027126823,39.02439024390244,0.34307974514011746,1.1575000710356418,41,0.4030492705812827
30,60,0.04,0.03,0.24,2.8,-3.2,1.6,split,0.6062938544357166,-1.1652189165689442,34.78260869565217,0.42101873416012725,1.1406835010151835,46,0.26129225386473776
30,60,0.04,0.03,0.24,2.8,-4.2,1.6,split,0.6062938544357166,-1.1652189165689442,34.78260869565217,0.42101873416012725,1.1406835010151835,46,0.26129225386473776
30,60,0.04,0.02,0.24,2.8,-3.2,1.2,split,0.5921118316958928,-1.0397364958878996,34.78260869565217,0.4190681240337912,1.1179870154080263,46,0.20512501946232575
30,60,0.04,0.02,0.24,2.8,-4.2,1.2,split,0.5921118316958928,-1.0397364958878996,34.78260869565217,0.4190681240337912,1.1179870154080263,46,0.20512501946232575
30,60,0.06,0.02,0.24,2.2,-3.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.02,0.24,2.2,-4.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.03,0.24,2.2,-4.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.03,0.24,2.2,-3.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.02,0.18,2.2,-4.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.02,0.18,2.2,-3.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.03,0.18,2.2,-3.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.03,0.18,2.2,-4.2,1.6,split,0.7396625148783641,-1.7854814349054116,40.0,0.3492903376749427,1.1495690046823583,40,0.06204876323980457
30,60,0.06,0.03,0.24,2.8,-4.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
30,60,0.06,0.03,0.24,2.8,-3.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
30,60,0.06,0.02,0.24,2.8,-3.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
30,60,0.06,0.02,0.24,2.8,-4.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
30,60,0.06,0.03,0.18,2.8,-3.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
30,60,0.06,0.03,0.18,2.8,-4.2,1.2,split,0.7378455531548389,-1.7577160509477663,39.02439024390244,0.3391945779735023,1.1575000710356416,41,0.05785001233927112
